"ICD10": "definition"
"F14259": "Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
"F14280": "Cocaine dependence with cocaine-induced anxiety disorder"
"F14281": "Cocaine dependence with cocaine-induced sexual dysfunction"
"F14282": "Cocaine dependence with cocaine-induced sleep disorder"
"F14288": "Cocaine dependence with other cocaine-induced disorder"
"F1429": "Cocaine dependence with unspecified cocaine-induced disorder"
"F1510": "Other stimulant abuse, uncomplicated"
"F1511": "Other stimulant abuse, in remission"
"F15120": "Other stimulant abuse with intoxication, uncomplicated"
"F15121": "Other stimulant abuse with intoxication delirium"
"F15122": "Other stimulant abuse with intoxication with perceptual disturbance"
"F15129": "Other stimulant abuse with intoxication, unspecified"
"F1514": "Other stimulant abuse with stimulant-induced mood disorder"
"F15150": "Other stimulant abuse with stimulant-induced psychotic disorder with delusions"
"F15151": "Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations"
"F15159": "Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
"F15180": "Other stimulant abuse with stimulant-induced anxiety disorder"
"F15181": "Other stimulant abuse with stimulant-induced sexual dysfunction"
"F15182": "Other stimulant abuse with stimulant-induced sleep disorder"
"F15188": "Other stimulant abuse with other stimulant-induced disorder"
"F1519": "Other stimulant abuse with unspecified stimulant-induced disorder"
"F1520": "Other stimulant dependence, uncomplicated"
"F1521": "Other stimulant dependence, in remission"
"F15220": "Other stimulant dependence with intoxication, uncomplicated"
"F15221": "Other stimulant dependence with intoxication delirium"
"F15222": "Other stimulant dependence with intoxication with perceptual disturbance"
"F15229": "Other stimulant dependence with intoxication, unspecified"
"F1523": "Other stimulant dependence with withdrawal"
"F1524": "Other stimulant dependence with stimulant-induced mood disorder"
"F15250": "Other stimulant dependence with stimulant-induced psychotic disorder with delusions"
"F15251": "Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations"
"F15259": "Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
"F15280": "Other stimulant dependence with stimulant-induced anxiety disorder"
"F15281": "Other stimulant dependence with stimulant-induced sexual dysfunction"
"F15282": "Other stimulant dependence with stimulant-induced sleep disorder"
"F15288": "Other stimulant dependence with other stimulant-induced disorder"
"F1529": "Other stimulant dependence with unspecified stimulant-induced disorder"
"F1610": "Hallucinogen abuse, uncomplicated"
"F1611": "Hallucinogen abuse, in remission"
"F16120": "Hallucinogen abuse with intoxication, uncomplicated"
"F16121": "Hallucinogen abuse with intoxication with delirium"
"F16122": "Hallucinogen abuse with intoxication with perceptual disturbance"
"F16129": "Hallucinogen abuse with intoxication, unspecified"
"F1614": "Hallucinogen abuse with hallucinogen-induced mood disorder"
"F16150": "Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions"
"F16151": "Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations"
"F16159": "Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
"F16180": "Hallucinogen abuse with hallucinogen-induced anxiety disorder"
"F16183": "Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)"
"F16188": "Hallucinogen abuse with other hallucinogen-induced disorder"
"F1619": "Hallucinogen abuse with unspecified hallucinogen-induced disorder"
"F1620": "Hallucinogen dependence, uncomplicated"
"F1621": "Hallucinogen dependence, in remission"
"F16220": "Hallucinogen dependence with intoxication, uncomplicated"
"F16221": "Hallucinogen dependence with intoxication with delirium"
"F16229": "Hallucinogen dependence with intoxication, unspecified"
"F1624": "Hallucinogen dependence with hallucinogen-induced mood disorder"
"F16250": "Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions"
"F16251": "Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations"
"F16259": "Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
"F16280": "Hallucinogen dependence with hallucinogen-induced anxiety disorder"
"F16283": "Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)"
"F16288": "Hallucinogen dependence with other hallucinogen-induced disorder"
"F1629": "Hallucinogen dependence with unspecified hallucinogen-induced disorder"
"F1810": "Inhalant abuse, uncomplicated"
"F1811": "Inhalant abuse, in remission"
"F18120": "Inhalant abuse with intoxication, uncomplicated"
"F18121": "Inhalant abuse with intoxication delirium"
"F18129": "Inhalant abuse with intoxication, unspecified"
"F1814": "Inhalant abuse with inhalant-induced mood disorder"
"F18150": "Inhalant abuse with inhalant-induced psychotic disorder with delusions"
"F18151": "Inhalant abuse with inhalant-induced psychotic disorder with hallucinations"
"F18159": "Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
"F1817": "Inhalant abuse with inhalant-induced dementia"
"F18180": "Inhalant abuse with inhalant-induced anxiety disorder"
"F18188": "Inhalant abuse with other inhalant-induced disorder"
"F1819": "Inhalant abuse with unspecified inhalant-induced disorder"
"F1820": "Inhalant dependence, uncomplicated"
"F1821": "Inhalant dependence, in remission"
"F18220": "Inhalant dependence with intoxication, uncomplicated"
"F18221": "Inhalant dependence with intoxication delirium"
"F18229": "Inhalant dependence with intoxication, unspecified"
"F1824": "Inhalant dependence with inhalant-induced mood disorder"
"F18250": "Inhalant dependence with inhalant-induced psychotic disorder with delusions"
"F18251": "Inhalant dependence with inhalant-induced psychotic disorder with hallucinations"
"F18259": "Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
"F1827": "Inhalant dependence with inhalant-induced dementia"
"F18280": "Inhalant dependence with inhalant-induced anxiety disorder"
"F18288": "Inhalant dependence with other inhalant-induced disorder"
"F1829": "Inhalant dependence with unspecified inhalant-induced disorder"
"F1910": "Other psychoactive substance abuse, uncomplicated"
"F1911": "Other psychoactive substance abuse, in remission"
"F19120": "Other psychoactive substance abuse with intoxication, uncomplicated"
"F19121": "Other psychoactive substance abuse with intoxication delirium"
"F19122": "Other psychoactive substance abuse with intoxication with perceptual disturbances"
"F19129": "Other psychoactive substance abuse with intoxication, unspecified"
"F1914": "Other psychoactive substance abuse with psychoactive substance-induced mood disorder"
"F19150": "Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions"
"F19151": "Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations"
"F19159": "Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
"F1916": "Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder"
"F1917": "Other psychoactive substance abuse with psychoactive substance-induced persisting dementia"
"F19180": "Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder"
"F19181": "Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction"
"F19182": "Other psychoactive substance abuse with psychoactive substance-induced sleep disorder"
"F19188": "Other psychoactive substance abuse with other psychoactive substance-induced disorder"
"F1919": "Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder"
"F1920": "Other psychoactive substance dependence, uncomplicated"
"F1921": "Other psychoactive substance dependence, in remission"
"F19220": "Other psychoactive substance dependence with intoxication, uncomplicated"
"F19221": "Other psychoactive substance dependence with intoxication delirium"
"F19222": "Other psychoactive substance dependence with intoxication with perceptual disturbance"
"F19229": "Other psychoactive substance dependence with intoxication, unspecified"
"F19230": "Other psychoactive substance dependence with withdrawal, uncomplicated"
"F19231": "Other psychoactive substance dependence with withdrawal delirium"
"F19232": "Other psychoactive substance dependence with withdrawal with perceptual disturbance"
"F19239": "Other psychoactive substance dependence with withdrawal, unspecified"
"F1924": "Other psychoactive substance dependence with psychoactive substance-induced mood disorder"
"F19250": "Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions"
"F19251": "Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations"
"F19259": "Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
"F1926": "Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder"
"F1927": "Other psychoactive substance dependence with psychoactive substance-induced persisting dementia"
"F19280": "Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder"
"F19281": "Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction"
"F19282": "Other psychoactive substance dependence with psychoactive substance-induced sleep disorder"
"F19288": "Other psychoactive substance dependence with other psychoactive substance-induced disorder"
"F1929": "Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder"
