"moud_med","ndc","strength","form","check"
"bup","63629712606",8,"tablet",1
"bup","63629712607",8,"tablet",1
"bup","63629712608",8,"tablet",1
"bup","63874117303",8,"tablet",1
"bup","63874117403",2,"tablet",1
"bup","64725093003",8,"tablet",1
"bup","64725093004",8,"tablet",1
"bup","64725192403",2,"tablet",1
"bup","64725192404",2,"tablet",1
"bup","68258299103",8,"tablet",1
"bup","68308020230",2,"tablet",1
"bup","68308020830",8,"tablet",1
"bup","71335035301",2,"tablet",1
"bup","71335035302",2,"tablet",1
"bup","71335035303",2,"tablet",1
"bup","71335035304",2,"tablet",1
"bup","71335035305",2,"tablet",1
"bup","71335035306",2,"tablet",1
"bup","71335035307",2,"tablet",1
"bup","76519117000",8,"tablet",1
"bup","76519117001",8,"tablet",1
"bup","76519117002",8,"tablet",1
"bup","76519117003",8,"tablet",1
"bup","76519117004",8,"tablet",1
"bup","76519117005",8,"tablet",1
"bup","60687048111",2,"tablet",1
"bup","60687048121",2,"tablet",1
"bup","60687049211",8,"tablet",1
"bup","60687049221",8,"tablet",1
"bup","70518155700",2,"tablet",1
"bup","71335115403",8,"tablet",1
"bup","12496010001",NA,"injection",0
"bup","12496010002",NA,"injection",0
"bup","12496010005",NA,"injection",0
"bup","12496030001",NA,"injection",0
"bup","12496030002",NA,"injection",0
"bup","12496030005",NA,"injection",0
"bup","52440010014",NA,"injection",0
"bup","58284010014",NA,"injection",0
"bup","59385002160",0.075,"film",1
"bup","59385002260",0.15,"film",1
"bup","59385002360",0.3,"film",1
"bup","59385002460",0.45,"film",1
"bup","59385002560",0.6,"film",1
"bup","59385002660",0.75,"film",1
"bup","59385002760",0.9,"film",1
"bup","12496075705",NA,"injection",0
"bup","71335095002",2,"tablet",1
"bup","71335095004",2,"tablet",1
"bup","71335095008",2,"tablet",1
"bup","71335095005",2,"tablet",1
"bup","71335095007",2,"tablet",1
"bup","71335115400",8,"tablet",1
"bup","71335115401",8,"tablet",1
"bup","71335115402",8,"tablet",1
"bup","71335115404",8,"tablet",1
"bup","71335115405",8,"tablet",1
"bup","71335115406",8,"tablet",1
"bup","71335115407",8,"tablet",1
"bup","71335115408",8,"tablet",1
"bup","71335115409",8,"tablet",1
"bup","58118050108",2,"tablet",1
"bup","71335095006",2,"tablet",1
"bup","58118050208",8,"tablet",1
"bup","63629947501",2,"tablet",1
"bup","71335095001",2,"tablet",1
"bup","71335095003",2,"tablet",1
"bup","60687062665",NA,"tablet",0
"bup","70518312900",NA,"tablet",0
"bup","70518338900",NA,"tablet",0
"bup","70518360300",NA,"tablet",0
"bup","42858060103",NA,"tablet",0
"bup","42858060203",NA,"tablet",0
"bup","71335137800",NA,"tablet",0
"bup","71335137801",NA,"tablet",0
"bup","71335137802",NA,"tablet",0
"bup","71335137803",NA,"tablet",0
"bup","71335137804",NA,"tablet",0
"bup","71335137805",NA,"tablet",0
"bup","71335137806",NA,"tablet",0
"bup","71335137807",NA,"tablet",0
"bup","71335137808",NA,"tablet",0
"bup","71335137809",NA,"tablet",0
"bup","70518231100",NA,"tablet",0
"bup","60505705305",NA,"film",0
"bup","60505705405",NA,"film",0
"bup","63629948201",NA,"tablet",0
"bup","63629948301",NA,"tablet",0
"bup","60687063765",NA,"tablet",0
"bup","70518348700",NA,"tablet",0
"bup","71335129601",NA,"tablet",0
"bup","71335129602",NA,"tablet",0
"bup","70518201400",8,"tablet",1
"bup","70518201401",8,"tablet",1
"bup","68071291503",8,"tablet",1
"bup","70518222600",2,"tablet",1
"bup","70518222601",2,"tablet",1
"bup","70518222602",2,"tablet",1
"bup","70518222603",2,"tablet",1
"bup","71335116300",8,"tablet",1
"bup","00904715404",2,"tablet",1
"bup","00904715504",8,"tablet",1
"bup","58118017608",2,"tablet",1
"bup","58118017708",8,"tablet",1
"bup","71335116301",8,"tablet",1
"bup","71335116302",8,"tablet",1
"bup","71335116303",8,"tablet",1
"bup","71335116304",8,"tablet",1
"bup","71335116305",8,"tablet",1
"bup","71335116306",8,"tablet",1
"bup","71335116307",8,"tablet",1
"bup","71335116308",8,"tablet",1
"bup","71335116309",8,"tablet",1
"bup","70518100700",NA,"tablet",0
"bup","63629726901",NA,"tablet",0
"bup","71335151401",NA,"tablet",0
"bup","71335151402",NA,"tablet",0
"bup","00143924605",NA,"injection",0
"bup","42023017905",NA,"injection",0
"bup","00409201232",NA,"injection",0
"bup","70518221600",2,"tablet",1
"bup","71335185809",NA,"tablet",0
"bup","71335165301",NA,"tablet",0
"bup","71335172001",NA,"tablet",0
"bup","71335172002",NA,"tablet",0
"bup","71335172501",NA,"tablet",0
"bup","76420053430",NA,"tablet",0
"bup","16729054910",NA,"tablet",0
"bup","16729055010",NA,"tablet",0
"bup","00904700906",NA,"tablet",0
"bup","55700090130",NA,"tablet",0
"bup","71335172500",NA,"tablet",0
"bup","71335172502",NA,"tablet",0
"bup","71335172503",NA,"tablet",0
"bup","71335172504",NA,"tablet",0
"bup","71335172505",NA,"tablet",0
"bup","71335172506",NA,"tablet",0
"bup","71335172507",NA,"tablet",0
"bup","71335185800",NA,"tablet",0
"bup","71335185801",NA,"tablet",0
"bup","00904701006",NA,"tablet",0
"bup","71335172508",NA,"tablet",0
"bup","71335172509",NA,"tablet",0
"bup","71335185802",NA,"tablet",0
"bup","71335185803",NA,"tablet",0
"bup","71335185804",NA,"tablet",0
"bup","71335185805",NA,"tablet",0
"bup","71335185806",NA,"tablet",0
"bup","71335185807",NA,"tablet",0
"bup","71335185808",NA,"tablet",0
"bup","55700086760",0.45,"film",1
"bup","71335035308",2,"tablet",1
"bup","68071259203",8,"tablet",1
"bup","50090580500",8,"tablet",1
"bup","52427071203",NA,"film",0
"bup","63629712508",2,"tablet",1
"bup","00517072505",NA,"injection",0
"bup","00378876616",NA,"tablet",0
"bup","00781721606",NA,"tablet",0
"bup","00781722706",NA,"tablet",0
"bup","00781724906",NA,"tablet",0
"bup","47781035511",NA,"tablet",0
"bup","47781035611",NA,"tablet",0
"bup","47781035711",NA,"tablet",0
"bup","47781035811",NA,"tablet",0
"bup","51862060830",NA,"tablet",0
"bup","52427071211",NA,"tablet",0
"bup","60429058611",NA,"tablet",0
"bup","60429058711",NA,"tablet",0
"bup","63629402801",NA,"tablet",0
